Name_of_SG,Type_of_data,Parameter,Value,Unit,Status
,,X_qp,0.39,pu,
,,X_qpp,0.29,pu,
,,T_qp,0.075,s,
,,T_qpp,0.03346154,s,
,Mechanical_data,H,4.27,kgm^2/rad,
SantaFe_U3,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,61.25,MVA,
,,R_a,.003,pu,
,,X_l,0.163,pu,
,,X_0,0.086,pu,
,,X_d,2.85,pu,
,,X_q,1.35,pu,
,,X_dp,0.299,pu,
,,X_dpp,0.236,pu,
,,T_dp,1.045661,s,
,,T_dpp,0.04183277,s,
,,X_qp,1.35,pu,
,,X_qpp,0.34,pu,
,,T_qp,0,s,
,,T_qpp,0.04911111,s,
,Mechanical_data,H,2.26,kgm^2/rad,
SantaFe_U2,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,61.25,MVA,
,,R_a,.003,pu,
,,X_l,0.163,pu,
,,X_0,0.086,pu,
,,X_d,2.95,pu,
,,X_q,1.4,pu,
,,X_dp,0.299,pu,
,,X_dpp,0.236,pu,
,,T_dp,1.010215,s,
,,T_dpp,0.04183277,s,
,,X_qp,1.4,pu,
,,X_qpp,0.34,pu,
,,T_qp,0,s,
,,T_qpp,0.04735714,s,
,Mechanical_data,H,2.26,kgm^2/rad,
Pacifico_U2,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,50,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,2.6,pu,
,,X_q,2.6,pu,
,,X_dp,0.248,pu,
,,X_dpp,0.22,pu,
,,T_dp,0.08107693,s,
,,T_dpp,0.03548387,s,
,,X_qp,2.6,pu,
,,X_qpp,0.31,pu,
,,T_qp,0,s,
,,T_qpp,0.0031,s,
,Mechanical_data,H,1.36,kgm^2/rad,
Pacifico_U3,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,17.5,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,1.8,pu,
,,X_q,1.8,pu,
,,X_dp,0.292,pu,
,,X_dpp,0.197,pu,
,,T_dp,0.1297778,s,
,,T_dpp,0.0269863,s,
,,X_qp,1.8,pu,
,,X_qpp,0.23,pu,
,,T_qp,0,s,
,,T_qpp,0.00293889,s,
,Mechanical_data,H,1.12,kgm^2/rad,
Pacifico_U1,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,45.4,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,2.58,pu,
,,X_q,2.58,pu,
,,X_dp,0.248,pu,
,,X_dpp,0.189,pu,
,,T_dp,0.09131783,s,
,,T_dpp,0.03810484,s,
,,X_qp,2.58,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.00261628,s,
,Mechanical_data,H,1.84,kgm^2/rad,
El_Toro_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U3,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U4,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
StaLidia_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,150,MVA,
,,R_a,.003,pu,
,,X_l,0.001,pu,
,,X_0,0.1,pu,
,,X_d,1.96,pu,
,,X_q,2.1,pu,
,,X_dp,0.2,pu,
,,X_dpp,0.15,pu,
,,T_dp,1.9,s,
,,T_dpp,0.062,s,
,,X_qp,2.1,pu,
,,X_qpp,0.12,pu,
,,T_qp,0,s,
,,T_qpp,0.03,s,
,Mechanical_data,H,5,kgm^2/rad,
LosPinos_U1,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
,,V_c,11.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),11.5,kVRMSLL,
,,Rated_power,138.75,MVA,
,,R_a,.003,pu,
,,X_l,0.11,pu,
,,X_0,0.01,pu,
,,X_d,2.2,pu,
,,X_q,2.2,pu,
,,X_dp,0.23,pu,
,,X_dpp,0.19,pu,
,,T_dp,1.087273,s,
,,T_dpp,0.03304348,s,
,,X_qp,0.23,pu,
,,X_qpp,0.19,pu,
,,T_qp,0.1568182,s,
,,T_qpp,0.09913043,s,
,Mechanical_data,H,1.8,kgm^2/rad,
Mampil_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,29,MVA,
,,R_a,0.0036,pu,
,,X_l,0.14,pu,
,,X_0,0.1,pu,
,,X_d,1.02,pu,
,,X_q,0.68,pu,
,,X_dp,0.36,pu,
,,X_dpp,0.29,pu,
,,T_dp,2.533135,s,
,,T_dpp,0.01933333,s,
,,X_qp,0.68,pu,
,,X_qpp,0.29,pu,
,,T_qp,0,s,
,,T_qpp,0.04181818,s,
,Mechanical_data,H,2.9,kgm^2/rad,
Mampil_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,29,MVA,
,,R_a,0.0036,pu,
,,X_l,0.14,pu,
,,X_0,0.1,pu,
,,X_d,1.02,pu,
,,X_q,0.68,pu,
,,X_dp,0.36,pu,
,,X_dpp,0.29,pu,
,,T_dp,2.533135,s,
,,T_dpp,0.01933333,s,
,,X_qp,0.68,pu,
,,X_qpp,0.29,pu,
,,T_qp,0,s,
,,T_qpp,0.04181818,s,
,Mechanical_data,H,2.9,kgm^2/rad,
Petropower_U1,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
,,V_c,11.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),11.5,kVRMSLL,
,,Rated_power,86.6,MVA,
,,R_a,0.004,pu,
,,X_l,0,pu,
,,X_0,0.098,pu,
,,X_d,2.079,pu,
,,X_q,2.05,pu,
,,X_dp,0.221,pu,
,,X_dpp,0.156,pu,
,,T_dp,0.5968807,s,
,,T_dpp,0.01482353,s,
,,X_qp,0.442,pu,
,,X_qpp,0.12,pu,
,,T_qp,0.09918049,s,
,,T_qpp,0.01730769,s,
,Mechanical_data,H,3.75,kgm^2/rad,
Antilhue_U1,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
,,V_c,11.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),11,kVRMSLL,
,,Rated_power,63.5,MVA,
,,R_a,0.0034,pu,
,,X_l,0.12,pu,
,,X_0,0.101,pu,
,,X_d,2.52,pu,
,,X_q,2.3,pu,
,,X_dp,0.242,pu,
,,X_dpp,0.194,pu,
,,T_dp,0.7663333,s,
,,T_dpp,0.03126447,s,
,,X_qp,0.293,pu,
,,X_qpp,0.194,pu,
,,T_qp,0.07006522,s,
,,T_qpp,0.01986348,s,
,Mechanical_data,H,1.27,kgm^2/rad,
Antilhue_U2,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
,,V_c,11.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),11,kVRMSLL,
,,Rated_power,63.5,MVA,
,,R_a,0.0034,pu,
,,X_l,0.12,pu,
,,X_0,0.101,pu,
,,X_d,2.52,pu,
,,X_q,2.3,pu,
,,X_dp,0.242,pu,
,,X_dpp,0.194,pu,
,,T_dp,0.7663333,s,
,,T_dpp,0.03126447,s,
,,X_qp,0.293,pu,
,,X_qpp,0.194,pu,
,,T_qp,0.07006522,s,
,,T_qpp,0.01986348,s,
,Mechanical_data,H,1.27,kgm^2/rad,
Bocamina_II,Electrical_data,V_a,18,1kVRMSLL,
,,V_b,18,1kVRMSLL,
,,V_c,18,1kVRMSLL,
,,Rated_voltage_(Y-connection),18,kVRMSLL,
,,Rated_power,456,MVA,
,,R_a,.0027,pu,
,,X_l,0.195,pu,
,,X_0,0.125,pu,
,,X_d,2.05,pu,
,,X_q,2,pu,
,,X_dp,0.26,pu,
,,X_dpp,0.2,pu,
,,T_dp,1.067902,s,
,,T_dpp,0.03461539,s,
,,X_qp,0.475,pu,
,,X_qpp,0.2,pu,
,,T_qp,0.140125,s,
,,T_qpp,0.03284211,s,
,Mechanical_data,H,3.94,kgm^2/rad,
c_laja,Electrical_data,V_a,11,1kVRMSLL,
,,V_b,11,1kVRMSLL,
,,V_c,11,1kVRMSLL,
,,Rated_voltage_(Y-connection),11,kVRMSLL,
,,Rated_power,40.5,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.114,pu,
,,X_d,1.158,pu,
,,X_q,0.523,pu,
,,X_dp,0.271,pu,
,,X_dpp,0.245,pu,
,,T_dp,1.404145,s,
,,T_dpp,0.01808118,s,
,,X_qp,0.523,pu,
,,X_qpp,0.245,pu,
,,T_qp,0,s,
,,T_qpp,0.09087954,s,
,Mechanical_data,H,2.63,kgm^2/rad,
C_Maipo_PA,Electrical_data,V_a,11,1kVRMSLL,
,,V_b,11,1kVRMSLL,
,,V_c,11,1kVRMSLL,
,,Rated_voltage_(Y-connection),11,kVRMSLL,
,,Rated_power,10,MVA,
,,R_a,0,pu,
,,X_l,0.089,pu,
,,X_0,0.09,pu,
,,X_d,1.11,pu,
,,X_q,0.692,pu,
,,X_dp,0.274,pu,
,,X_dpp,0.187,pu,
,,T_dp,2.261117,s,
,,T_dpp,0.06824818,s,
,,X_qp,0.692,pu,
,,X_qpp,0.164,pu,
,,T_qp,0,s,
,,T_qpp,0.05687862,s,
,Mechanical_data,H,2.7,kgm^2/rad,
Central_Rucatayo,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,55.26,MVA,
,,R_a,.0118,pu,
,,X_l,0.15,pu,
,,X_0,0.19,pu,
,,X_d,1.07,pu,
,,X_q,0.7,pu,
,,X_dp,0.35,pu,
,,X_dpp,0.265,pu,
,,T_dp,1.831776,s,
,,T_dpp,0.06814285,s,
,,X_qp,0.7,pu,
,,X_qpp,0.3,pu,
,,T_qp,0,s,
,,T_qpp,0.07285715,s,
,Mechanical_data,H,2.85,kgm^2/rad,
C_ANTILLANCA,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,65,MVA,
,,R_a,.0118,pu,
,,X_l,0.15,pu,
,,X_0,0.19,pu,
,,X_d,1.07,pu,
,,X_q,0.7,pu,
,,X_dp,0.35,pu,
,,X_dpp,0.265,pu,
,,T_dp,1.831776,s,
,,T_dpp,0.06814285,s,
,,X_qp,0.7,pu,
,,X_qpp,0.3,pu,
,,T_qp,0,s,
,,T_qpp,0.07285715,s,
,Mechanical_data,H,2.85,kgm^2/rad,
Valdivia_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,87.5,MVA,
,,R_a,0.0001,pu,
,,X_l,0.178,pu,
,,X_0,0.1,pu,
,,X_d,2.76,pu,
,,X_q,2.62,pu,
,,X_dp,0.309,pu,
,,X_dpp,0.224,pu,
,,T_dp,1.174424,s,
,,T_dpp,0.03428867,s,
,,X_qp,0.568,pu,
,,X_qpp,0.246,pu,
,,T_qp,0.214626,s,
,,T_qpp,0.02165493,s,
,Mechanical_data,H,3.2,kgm^2/rad,
C_CARILAF,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,24,MVA,
,,R_a,0.01,pu,
,,X_l,0.001,pu,
,,X_0,0.07,pu,
,,X_d,1.51,pu,
,,X_q,0.86,pu,
,,X_dp,0.36,pu,
,,X_dpp,0.3,pu,
,,T_dp,1.68,s,
,,T_dpp,0.04236666,s,
,,X_qp,0.6,pu,
,,X_qpp,0.2,pu,
,,T_qp,0,s,
,,T_qpp,0.05140625,s,
,Mechanical_data,H,4.235294,kgm^2/rad,
Pangue_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,240,MVA,
,,R_a,.002,pu,
,,X_l,0.108,pu,
,,X_0,0.09,pu,
,,X_d,0.99,pu,
,,X_q,0.68,pu,
,,X_dp,0.3,pu,
,,X_dpp,0.2,pu,
,,T_dp,3.59697,s,
,,T_dpp,0.24,s,
,,X_qp,0.68,pu,
,,X_qpp,0.18,pu,
,,T_qp,0,s,
,,T_qpp,0.02911765,s,
,Mechanical_data,H,3.85,kgm^2/rad,
Pangue_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,240,MVA,
,,R_a,.002,pu,
,,X_l,0.108,pu,
,,X_0,0.09,pu,
,,X_d,0.99,pu,
,,X_q,0.68,pu,
,,X_dp,0.3,pu,
,,X_dpp,0.2,pu,
,,T_dp,3.59697,s,
,,T_dpp,0.24,s,
,,X_qp,0.68,pu,
,,X_qpp,0.18,pu,
,,T_qp,0,s,
,,T_qpp,0.02911765,s,
,Mechanical_data,H,3.85,kgm^2/rad,
Antuco_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,160,MVA,
,,R_a,.002,pu,
,,X_l,0.108,pu,
,,X_0,0.1,pu,
,,X_d,1.17,pu,
,,X_q,0.8,pu,
,,X_dp,0.27,pu,
,,X_dpp,0.17,pu,
,,T_dp,1.915385,s,
,,T_dpp,0.03777777,s,
,,X_qp,0.8,pu,
,,X_qpp,0.19,pu,
,,T_qp,0,s,
,,T_qpp,0.019,s,
,Mechanical_data,H,4.7,kgm^2/rad,
HE_Antuco_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,160,MVA,
,,R_a,.002,pu,
,,X_l,0.108,pu,
,,X_0,0.1,pu,
,,X_d,1.17,pu,
,,X_q,0.8,pu,
,,X_dp,0.27,pu,
,,X_dpp,0.17,pu,
,,T_dp,1.915385,s,
,,T_dpp,0.03777777,s,
,,X_qp,0.8,pu,
,,X_qpp,0.19,pu,
,,T_qp,0,s,
,,T_qpp,0.019,s,
,Mechanical_data,H,4.7,kgm^2/rad,
Ralco_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,402,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.119,pu,
,,X_d,1.682,pu,
,,X_q,0.982,pu,
,,X_dp,0.317,pu,
,,X_dpp,0.22,pu,
,,T_dp,2.506599,s,
,,T_dpp,0.05760252,s,
,,X_qp,0.982,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.06619145,s,
,Mechanical_data,H,2.97,kgm^2/rad,
Ralco_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,402,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.119,pu,
,,X_d,1.682,pu,
,,X_q,0.982,pu,
,,X_dp,0.317,pu,
,,X_dpp,0.22,pu,
,,T_dp,2.506599,s,
,,T_dpp,0.05760252,s,
,,X_qp,0.982,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.06619145,s,
,Mechanical_data,H,2.97,kgm^2/rad,
c_palmucho,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,33,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.114,pu,
,,X_d,1.158,pu,
,,X_q,0.523,pu,
,,X_dp,0.271,pu,
,,X_dpp,0.245,pu,
,,T_dp,1.404145,s,
,,T_dpp,0.01808118,s,
,,X_qp,0.523,pu,
,,X_qpp,0.245,pu,
,,T_qp,0,s,
,,T_qpp,0.09087954,s,
,Mechanical_data,H,2.63,kgm^2/rad,
Rucue_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,93,MVA,
,,R_a,0.0036,pu,
,,X_l,0.16,pu,
,,X_0,0.099,pu,
,,X_d,1.054,pu,
,,X_q,0.79,pu,
,,X_dp,0.277,pu,
,,X_dpp,0.198,pu,
,,T_dp,2.08407,s,
,,T_dpp,0.02859206,s,
,,X_qp,0.79,pu,
,,X_qpp,0.238,pu,
,,T_qp,0,s,
,,T_qpp,0.01928101,s,
,Mechanical_data,H,3.81,kgm^2/rad,
Rucue_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,93,MVA,
,,R_a,0.0036,pu,
,,X_l,0.15,pu,
,,X_0,0.099,pu,
,,X_d,1.06,pu,
,,X_q,0.72,pu,
,,X_dp,0.277,pu,
,,X_dpp,0.198,pu,
,,T_dp,2.095793,s,
,,T_dpp,0.02859206,s,
,,X_qp,0.72,pu,
,,X_qpp,0.238,pu,
,,T_qp,0,s,
,,T_qpp,0.02115556,s,
,Mechanical_data,H,3.81,kgm^2/rad,
Quilleco_U1,Electrical_data,V_a,13.80000000000071,1kVRMSLL,
,,V_b,13.80000000000071,1kVRMSLL,
,,V_c,13.80000000000071,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,38,MVA,
,,R_a,0.0036,pu,
,,X_l,0.001,pu,
,,X_0,0.125,pu,
,,X_d,1,pu,
,,X_q,0.64,pu,
,,X_dp,0.3,pu,
,,X_dpp,0.205,pu,
,,T_dp,1.68,s,
,,T_dpp,0.04236666,s,
,,X_qp,0.64,pu,
,,X_qpp,0.235,pu,
,,T_qp,0,s,
,,T_qpp,0.05140625,s,
,Mechanical_data,H,2.88,kgm^2/rad,
Quilleco_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,38,MVA,
,,R_a,0.0036,pu,
,,X_l,0.001,pu,
,,X_0,0.125,pu,
,,X_d,1,pu,
,,X_q,0.64,pu,
,,X_dp,0.3,pu,
,,X_dpp,0.205,pu,
,,T_dp,1.68,s,
,,T_dpp,0.04236666,s,
,,X_qp,0.64,pu,
,,X_qpp,0.235,pu,
,,T_qp,0,s,
,,T_qpp,0.05140625,s,
,Mechanical_data,H,2.88,kgm^2/rad,
La_Mina_RColorado,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,52.42,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.114,pu,
,,X_d,1.158,pu,
,,X_q,0.523,pu,
,,X_dp,0.271,pu,
,,X_dpp,0.245,pu,
,,T_dp,1.404145,s,
,,T_dpp,0.01808118,s,
,,X_qp,0.523,pu,
,,X_qpp,0.245,pu,
,,T_qp,0,s,
,,T_qpp,0.09087954,s,
,Mechanical_data,H,2.63,kgm^2/rad,
C_LomaAlta,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,40,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.114,pu,
,,X_d,1.158,pu,
,,X_q,0.523,pu,
,,X_dp,0.271,pu,
,,X_dpp,0.245,pu,
,,T_dp,1.404145,s,
,,T_dpp,0.01808118,s,
,,X_qp,0.523,pu,
,,X_qpp,0.245,pu,
,,T_qp,0,s,
,,T_qpp,0.09087954,s,
,Mechanical_data,H,2.63,kgm^2/rad,
Niuble_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,151,MVA,
,,R_a,0,pu,
,,X_l,0.102,pu,
,,X_0,0.1,pu,
,,X_d,1.007,pu,
,,X_q,0.733,pu,
,,X_dp,0.282,pu,
,,X_dpp,0.203,pu,
,,T_dp,2.668778,s,
,,T_dpp,0.1036596,s,
,,X_qp,0.733,pu,
,,X_qpp,0.205,pu,
,,T_qp,0,s,
,,T_qpp,0.06712142,s,
,Mechanical_data,H,4.05,kgm^2/rad,
LFS_DIGUA_U1,Electrical_data,V_a,6.6,1kVRMSLL,
,,V_b,6.6,1kVRMSLL,
,,V_c,6.6,1kVRMSLL,
,,Rated_voltage_(Y-connection),6.6,kVRMSLL,
,,Rated_power,12.5,MVA,
,,R_a,0,pu,
,,X_l,0.102,pu,
,,X_0,0.1,pu,
,,X_d,1.007,pu,
,,X_q,0.733,pu,
,,X_dp,0.282,pu,
,,X_dpp,0.203,pu,
,,T_dp,2.668778,s,
,,T_dpp,0.1036596,s,
,,X_qp,0.733,pu,
,,X_qpp,0.205,pu,
,,T_qp,0,s,
,,T_qpp,0.06712142,s,
,Mechanical_data,H,4.05,kgm^2/rad,
Loma_Alta_LHierros,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,40.5,MVA,
,,R_a,.002,pu,
,,X_l,0.15,pu,
,,X_0,0.114,pu,
,,X_d,1.158,pu,
,,X_q,0.523,pu,
,,X_dp,0.271,pu,
,,X_dpp,0.245,pu,
,,T_dp,1.404145,s,
,,T_dpp,0.01808118,s,
,,X_qp,0.523,pu,
,,X_qpp,0.245,pu,
,,T_qp,0,s,
,,T_qpp,0.09087954,s,
,Mechanical_data,H,2.63,kgm^2/rad,
Peuchen_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,44,MVA,
,,R_a,0.0036,pu,
,,X_l,0.12,pu,
,,X_0,0.07,pu,
,,X_d,1.11,pu,
,,X_q,0.75,pu,
,,X_dp,0.26,pu,
,,X_dpp,0.18,pu,
,,T_dp,1.496757,s,
,,T_dpp,0.01869231,s,
,,X_qp,0.75,pu,
,,X_qpp,0.18,pu,
,,T_qp,0,s,
,,T_qpp,0.012,s,
,Mechanical_data,H,2.03,kgm^2/rad,
Peuchen_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,44,MVA,
,,R_a,0.0036,pu,
,,X_l,0.12,pu,
,,X_0,0.07,pu,
,,X_d,1.11,pu,
,,X_q,0.75,pu,
,,X_dp,0.26,pu,
,,X_dpp,0.18,pu,
,,T_dp,1.496757,s,
,,T_dpp,0.01869231,s,
,,X_qp,0.75,pu,
,,X_qpp,0.18,pu,
,,T_qp,0,s,
,,T_qpp,0.012,s,
,Mechanical_data,H,2.03,kgm^2/rad,
Machicura_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
